group,method_or_seed,balanced_accuracy,std,note,source
published,REVE,0.5,0.0,Laya v2 Table 2,https://arxiv.org/html/2603.16281v2
published,CBraMod,0.605,0.011,Laya v2 Table 2,https://arxiv.org/html/2603.16281v2
published,LUNA,0.733,0.018,Laya v2 Table 2,https://arxiv.org/html/2603.16281v2
published,Laya-B,0.778,0.006,Laya v2 Table 2,https://arxiv.org/html/2603.16281v2
published,LaBraM,0.781,0.013,Laya v2 Table 2,https://arxiv.org/html/2603.16281v2
published,Laya-S,0.798,0.007,Laya v2 Table 2,https://arxiv.org/html/2603.16281v2
ours_all_available,seed 10000,0.8183,,isolated rerun,local Dalia logs
ours_all_available,seed 1000,0.8235,,isolated rerun,local Dalia logs
ours_all_available,seed 1,0.8341,,previous v3 run,local Dalia logs
ours_conservative,seed 10000,0.8183,,isolated rerun,local Dalia logs
ours_conservative,seed 1000,0.8235,,isolated rerun,local Dalia logs
